Mouse.ID,strain,time,CLiv,CKid,CLivTCA,CKidTCA,CPlasTCA,CBldTCVG,CLivTCVG,CKidTCVG,CBldTCVC,CLivTCVC,CKidTCVC,CBldNAT,CLivNAT,CKidNAT
jac_CC-019,CC008/GeniUnc,1,,80.06043854,37.52677707,22.96520281,85.62962992,0.004264428,0.036964703,0.008517247,0.001737156,0.000945538,0.022039309,0.011597437,0.01957802,0.009553163
jac_CC-020,CC008/GeniUnc,2,77.1480983,110.0547881,60.27454666,31.89604692,180.1485657,0.003201985,0.026259798,0.013895011,0.002274321,0.000874902,0.032500836,0.008370986,0.018461377,0.018090845
jac_CC-021,CC008/GeniUnc,4,76.36108899,79.62769661,,45.7762316,251.794491,0.002462586,0.010274031,0.010011584,0.001629781,0.000981061,0.029832497,0.007112656,0.020996806,0.01732607
jac_CC-022,CC008/GeniUnc,12,16.36478526,4.477457547,111.7394897,55.41367999,344.2164537,0.000668976,0.003254148,0.002380298,0.000219822,0.000805629,0.010640609,2.38E-05,0.001297196,0.003139289
jac_CC-023,CC008/GeniUnc,24,10.58214077,3.682289755,,49.76513004,165.446021,,,,,,,,,
jac_CC-025,CC032/GeniUnc,1,131.6641192,141.8336853,45.45810569,31.23998441,107.5457232,0.005598437,0.092675374,0.02573053,0.008306633,0.001332814,0.023170943,0.016036813,0.028976231,0.016130805
jac_CC-026,CC032/GeniUnc,2,107.7261399,90.335957,69.10458424,40.23053743,207.5933197,0.002436367,0.024234848,0.014483828,0.004048268,0.000947425,0.013216626,0.008626563,0.011548819,0.007430159
jac_CC-027,CC032/GeniUnc,4,,86.01213798,88.54533145,35.06126012,240.5872872,0.003212843,0.050560925,0.018743559,0.005325348,0.001125131,0.017260873,0.011946611,0.01547343,0.01039599
jac_CC-028,CC032/GeniUnc,12,,30.28310072,133.5722704,92.53181446,287.6013681,0.002027209,0.024019509,0.008222707,0.002723317,0.000947342,0.007469341,0.008490845,0.009909221,0.007537424
jac_CC-029,CC032/GeniUnc,24,11.56484597,2.488997309,109.2614403,40.37014835,374.4105282,,,,,,,,,
jac_CC-031,CC024/GeniUnc,1,53.19617409,31.97283564,35.57850577,12.66332949,82.47229874,0.001808538,0.013560145,0.0054026,0.002986124,0.000965038,0.007866657,0.007411059,0.017431985,0.004615438
jac_CC-032,CC024/GeniUnc,2,66.84831395,63.48525299,53.74219897,12.0662311,175.2971768,0.003628417,0.030803449,0.010247855,0.005773284,0.001293675,0.014828862,0.015432861,0.037747543,0.007155731
jac_CC-033,CC024/GeniUnc,4,35.78547706,35.87253529,86.0594274,32.23680871,154.0003821,0.001167951,0.011993788,0.004397952,0.004161524,0.00089796,0.009980709,0.006774534,0.011808733,0.006458069
jac_CC-034,CC024/GeniUnc,12,51.60156302,36.99652778,91.70192031,44.41124291,383.200562,0.002881997,0.03058317,0.006211008,0.003600077,0.001073933,0.00744592,0.008688683,0.013672955,0.003989492
jac_CC-035,CC024/GeniUnc,24,16.61292346,6.795578582,95.19462924,72.16386008,341.9233947,,,,,,,,,
jac_CC-037,CC012/GeniUnc,1,93.5646687,123.5978218,43.67789521,11.95824115,65.74030102,0.003355579,0.066768017,0.054971574,0.017647743,0.001436208,0.049888751,0.024699098,0.053511508,0.025116639
jac_CC-038,CC012/GeniUnc,2,57.96790906,52.10647202,57.89140783,14.70541591,120.7919629,0.003014321,0.081242547,0.038607686,0.014408584,0.001551708,0.040120867,0.032824385,0.063485114,0.031058673
jac_CC-039,CC012/GeniUnc,4,,34.94531317,84.98953872,39.00253681,187.8978276,0.001885952,0.02936811,0.027655376,0.00586682,0.00103257,0.021105881,0.01347408,0.023898157,0.014952851
jac_CC-040,CC012/GeniUnc,12,40.06144419,12.26493784,,51.64021877,,0.000861524,0.005743302,0.008588188,0.001586638,0.000805286,0.010864188,0.002274526,0.008501807,0.007360483
jac_CC-041,CC012/GeniUnc,24,17.97099267,2.067948025,117.4654092,85.64693577,287.6149649,,,,,,,,,
jac_CC-043,CC028/GeniUnc,1,82.42321752,58.18984832,37.37695882,20.30763551,81.92365775,0.003818366,0.028502717,0.014470717,0.005684132,0.00110963,0.020439751,0.016910005,0.025248782,0.008032213
jac_CC-044,CC028/GeniUnc,2,47.58030626,46.9996245,65.54592948,21.34835678,130.4054252,0.001846913,0.018650436,0.009861079,0.003096563,0.001122226,0.017248668,0.011705788,0.02909175,0.014046175
jac_CC-045,CC028/GeniUnc,4,73.4399042,44.98403087,136.4228223,62.06515103,273.4429408,0.001820104,0.018850887,0.010499569,0.002713908,0.001228908,0.012122721,0.007221716,0.020934722,0.006507816
jac_CC-046,CC028/GeniUnc,12,47.39448237,26.17763328,204.4941424,88.17200974,397.1230833,0.001555476,0.021894217,0.005673232,0.001331585,0.000903474,0.008036801,0.004336892,0.010712995,0.003950958
jac_CC-047,CC028/GeniUnc,24,74.11059401,38.10453666,259.6866695,129.2479485,535.5347846,,,,,,,,,
jac_CC-049,CC033/GeniUnc,1,62.62045837,51.59362937,20.58587246,15.45123733,,0.004007517,0.150446027,0.005131857,0.01100647,0.002336649,0.020204696,0.018718548,0.033202487,0.007643777
jac_CC-050,CC033/GeniUnc,2,56.78790502,181.1111108,54.89758328,33.46219565,143.9123421,0.003984263,0.057759194,0.005502673,0.008766726,0.002117557,0.024653516,0.016882529,0.036036906,0.0061917
jac_CC-051,CC033/GeniUnc,4,85.40794606,56.8369495,85.29660151,59.97283057,190.2718941,0.004753269,0.12321188,0.008380694,0.00992887,0.002178661,0.014011836,0.015505948,0.025522915,0.00710768
jac_CC-052,CC033/GeniUnc,12,50.31115404,24.90712849,61.25896467,51.19771806,132.8828502,0.001725812,0.026175405,0.003999773,0.002760772,0.001135653,0.005500569,0.005652599,0.004909759,0.003585613
jac_CC-053,CC033/GeniUnc,24,3.7063005,0.650891816,41.4835455,51.56418807,106.691371,,,,,,,,,
jac_CC-055,CC045/GeniUnc,1,51.38677594,70.56906392,44.54023489,32.58584895,104.6663088,0.002897915,0.050998587,0.045601961,0.007603744,0.00143802,0.031878647,0.017923849,0.055772608,0.024932152
jac_CC-056,CC045/GeniUnc,2,65.5671315,105.8984205,59.83879499,36.95675732,160.4142624,0.004038998,0.041253011,0.067741682,0.00948515,0.001505508,0.051922849,0.022563915,0.057898831,0.034211191
jac_CC-057,CC045/GeniUnc,4,62.18347477,89.57706366,114.6291195,100.6604116,210.7812643,0.003108507,0.027970962,0.032962514,0.004003449,0.001340587,0.033379254,0.011785209,0.033759025,0.02009681
jac_CC-058,CC045/GeniUnc,12,46.6261491,26.96774749,101.984445,71.47053384,227.9514108,0.001127444,0.010409465,0.010444533,0.001389963,0.000901622,0.012892849,0.002590065,0.007281983,0.00512893
jac_CC-059,CC045/GeniUnc,24,82.25348946,22.17213503,112.4962027,66.69214784,209.3177723,,0.006539712,,,0.000909521,,,0.006641249,
jac_CC-061,CC058/Unc,1,109.6386742,46.76045822,42.05135537,18.73100981,87.84702879,0.003756206,0.043930835,0.029000133,0.004425268,0.001258913,0.030917481,0.018156541,0.044383449,0.01104265
jac_CC-062,CC058/Unc,2,42.06682437,39.30135119,54.31574323,42.68929999,123.8743341,0.001934634,0.020352592,0.024160841,0.003255299,0.000926832,0.020118754,0.013134254,0.020118057,0.005277015
jac_CC-063,CC058/Unc,4,26.2445847,14.02652923,137.5258532,19.21253285,203.145355,0.001005107,0.008614675,0.003277017,0.000650964,0.000917269,0.010234428,0.002121505,0.005211985,0.001690257
jac_CC-064,CC058/Unc,12,0.535332164,5.611100119,138.5264616,50.20693817,,0.00039271,0.00289585,0.001783024,0.000140808,0.000743131,0.00252044,0.000110307,0,0.000379608
jac_CC-065,CC058/Unc,24,0.000016583,0.173360324,55.68961623,25.96496161,93.44022593,,0.001346087,,,5.63E-06,,,0.000762131,
jac_CC-067,CC030/GeniUnc,1,,111.0107461,58.36378045,29.39848509,59.20902031,0.005717997,0.058945007,0.009442141,0.006444209,0.001111228,0.044346486,0.012121522,0.036099891,0.007143381
jac_CC-068,CC030/GeniUnc,2,,99.53319804,85.90950024,31.4327348,109.8438574,0.004483772,0.062632239,0.007258275,0.00310166,0.001072772,0.030836503,0.012268926,0.023769773,0.006186127
jac_CC-069,CC030/GeniUnc,4,,49.79028716,147.3495793,8.685927085,167.6041487,0.003184497,0.083586894,0.00314391,0.002575466,0.001144697,0.020203194,0.014173905,0.031911654,0.003906962
jac_CC-070,CC030/GeniUnc,12,20.77932866,6.483456662,65.81517624,,236.3825926,0.0006399,0.005866974,0.002281704,0.000270192,0.000787082,0.005401111,0.001052127,0.002570968,0.002595219
jac_CC-071,CC030/GeniUnc,24,,0.54723973,52.04937188,27.9552367,94.46425597,,0.001323455,,,8.26E-05,,,0.000804431,
jac_CC-073,CC022/GeniUnc,1,91.63934202,108.3051375,70.9855523,38.62268015,81.62571552,0.006207637,0.081493607,0.012572765,0.011189729,0.002070543,0.10869447,0.057652547,0.090345758,0.039027001
jac_CC-074,CC022/GeniUnc,2,,74.17040802,90.88054267,24.94223203,147.9421842,0.004339535,0.05908273,0.01053524,0.005479615,0.001636859,0.084674766,0.021088085,0.047855601,0.027278524
jac_CC-075,CC022/GeniUnc,4,49.36735781,22.74448466,188.2294463,47.19676417,220.0547411,0.001861194,0.011401456,0.007515221,0.003260526,0.001086816,0.034092633,0.015777336,0.024286039,0.011669485
jac_CC-076,CC022/GeniUnc,12,9.233199487,4.296069144,149.9743894,28.76932127,,0.00054609,0.004154873,0.002689425,0.000126936,0.000770222,0.005511563,0.000764554,0.007185998,0.004534753
jac_CC-077,CC022/GeniUnc,24,0.346738608,0.330999787,165.2432752,42.52048524,116.5489198,,0.001434152,,,4.71E-05,,,0.000576132,
jac_CC-079,CC044/Unc,1,,58.42989606,17.71556879,23.51108134,88.30849742,0.003248608,0.029101751,0.007531072,0.007243167,0.000519083,0.032907066,0.017590798,0.044635594,0.009806084
jac_CC-080,CC044/Unc,24,0.000016583,0.431215263,55.45358285,13.14337954,60.1073822,,0.001298739,,,6.83E-05,,,0.001177153,
jac_CC-082,CC029/Unc,1,78.83055003,64.51942248,39.79586864,18.10135601,,,0.045424659,0.004454168,,0.000437259,0.019982811,,0.053978156,0.01785872
jac_CC-083,CC029/Unc,24,1.260187279,0.473441937,42.13017563,29.10608068,76.78572665,,0.001782649,,,6.32E-05,,,0.001409487,
jac_CC-085,CC043/GeniUnc,1,,160.1273788,76.64180746,31.85474419,120.9091662,0.019936602,0.191737633,0.031762838,0.005299444,0.000640512,0.061991205,0.050901057,0.113946265,0.043007634
jac_CC-086,CC043/GeniUnc,24,0.149056918,0.026403234,18.32415539,26.26181146,31.56352457,,0.002741221,,,7.77E-05,,,0.002619402,
jac_CC-088,CC023/GeniUnc,1,116.2295405,186.6970683,61.63345168,22.95653593,106.4323215,0.018597662,0.336950578,0.023618896,0.02703682,0.002179122,0.120291582,0.091368547,0.179320153,0.037135327
jac_CC-089,CC023/GeniUnc,2,97.99691773,94.27881315,63.68709098,32.65883234,160.079145,0.016061285,0.506481837,0.012528117,0.027266768,0.002916484,0.122570137,0.132814935,0.175983917,0.054396707
jac_CC-090,CC023/GeniUnc,4,113.5375063,115.4850392,126.4309808,43.51591827,203.4990372,0.010737054,0.258238626,0.010300402,0.013344686,0.001775933,0.086289788,0.059148783,0.076857766,0.039902684
jac_CC-091,CC023/GeniUnc,12,35.70572414,15.46487129,220.8121315,87.24009941,299.9361628,0.001641267,0.024687119,0.003564711,0.001545453,0.000991004,0.015103728,0.006284794,0.011169442,0.008535795
jac_CC-092,CC023/GeniUnc,24,72.44558258,29.06952624,125.3126878,56.31920897,185.2473453,,0.072937954,,,0.000312717,,,0.023402452,
jac_CC-094,CC003/Unc,1,105.3122357,183.3565546,31.06819646,21.09640163,69.52785873,0.01218323,0.226128092,0.02109937,0.010793521,0.00202072,0.106313771,0.047638887,0.111911011,0.068471948
jac_CC-095,CC003/Unc,2,40.47039173,155.5975205,97.07597753,34.63848628,92.61081108,0.006598106,0.115730424,0.010881416,0.010699953,0.001827176,0.071146749,0.053379318,0.110317414,0.035856058
jac_CC-096,CC003/Unc,4,90.71122073,119.4384586,104.5033927,54.19645243,152.4274913,0.006346262,0.084623646,0.010193089,0.005871198,0.00293065,0.04618749,0.042084119,0.131777435,0.024657121
jac_CC-097,CC003/Unc,12,41.07598138,14.06146364,183.3594123,42.57842078,337.5420394,0.001027975,0.011906235,0.003948637,0.000624197,0.000849566,0.008858002,0.00177275,0.005361343,0.006301978
jac_CC-098,CC003/Unc,24,1.765330131,0.457855701,78.08204605,8.035403606,150.9158285,,0.001674053,,,2.25E-05,,,0.002539273,
jac_CC-100,CC002/Unc,1,99.65716797,49.47268527,35.19870283,10.73147325,82.99405929,0.003822552,0.034297855,0.008910653,0.005484035,0.000218451,0.034785716,0.012995166,0.020491019,0.030189221
jac_CC-101,CC002/Unc,2,93.27742585,64.79469269,59.89049724,14.82464277,76.14294913,0.003167235,0.032155388,0.00959003,0.004672533,0.000324208,0.023654431,0.012352055,0.022410527,0.013876837
jac_CC-102,CC002/Unc,4,,42.91371943,94.12542641,,105.0776582,0.001716063,0.015562642,0.085734586,0.004126844,0.000206251,0.000947441,0.00747904,0.013683027,0.042588705
